Dataset,Samples,Min,Max
BSE,2948,15175.080078125,61765.58984375
NASDAQ,3021,2091.7900390625,16057.4404296875
HSI,2957,16250.26953125,33154.12109375
SSE,2913,1950.011962890625,5166.35009765625
Russell2000,3021,586.489990234375,2442.739990234375
TAIEX,2938,6633.29931640625,18248.279296875
