Model,BSE,NASDAQ,HSI,SSE,Russell2000,TAIEX
"ENN, 10 hidden neurons",0.06904915263876318,0.13192527554929256,0.01510022757574916,0.010147489025257528,0.07832099548541009,0.16227025222033262
"ENN, 20 hidden neurons",0.015821479307487608,0.0244937248993665,0.010472220648080111,0.007420697901397944,0.017639879090711474,0.026033433713018896
"ENN, 40 hidden neurons",0.01432454886380583,0.022880662651732563,0.012902791239321231,0.006932464335113764,0.010435030143707991,0.025545340962707996
"ENN, 70 hidden neurons",0.01452671056613326,0.02537587732076645,0.010499943932518362,0.005360616696998477,0.01054257161449641,0.024975603772327305
"ENN, 100 hidden neurons",0.00915532438084483,0.012940835626795887,0.009627329418435693,0.004584120400249958,0.007806525146588683,0.021352891437709333
QENN (paper reported),0.23782,0.2183,0.29263,0.22984,0.25729,0.10163
QENN-Qiskit,0.3595484448113886,0.3399525988643497,0.3070773278781621,0.6114289476283645,0.3489338414167536,0.4413310747090579
QENN-QSharp,0.2674826049134368,0.2403289145521893,0.2252815214165487,0.4996617441939071,0.2561938968098615,0.3200449605897392
